station,gear,skate_or_pot_unique_id,skate_or_pot_number,n_sablefish,detailed_gear
Exp_Set2,POT,Exp_Set2_106_173,173,15,Small pots
Exp_Set2,POT,Exp_Set2_106_174,174,16,Small pots
Exp_Set2,POT,Exp_Set2_106_175,175,10,Large pots
Exp_Set2,POT,Exp_Set2_106_176,176,3,Large pots
Exp_Set2,POT,Exp_Set2_106_177,177,12,Large pots
Exp_Set2,POT,Exp_Set2_106_178,178,9,Large pots
Exp_Set2,POT,Exp_Set2_106_179,179,4,Large pots
Exp_Set2,POT,Exp_Set2_106_180,180,11,Large pots
Exp_Set2,POT,Exp_Set2_106_91,91,17,Large pots
Exp_Set2,POT,Exp_Set2_106_92,92,13,Large pots
Exp_Set2,POT,Exp_Set2_106_93,93,15,Large pots
Exp_Set2,POT,Exp_Set2_106_94,94,14,Large pots
Exp_Set2,POT,Exp_Set2_106_95,95,6,Large pots
Exp_Set2,POT,Exp_Set2_106_96,96,2,Small pots
Exp_Set2,POT,Exp_Set2_106_97,97,4,Small pots
Exp_Set2,POT,Exp_Set2_106_98,98,1,Small pots
Exp_Set2,POT,Exp_Set2_106_99,99,14,Small pots
Exp_Set3,HAL,Exp_Set3_107_1,1,0,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_10,10,22,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_11,11,17,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_12,12,19,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_13,13,26,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_14,14,21,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_15,15,27,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_16,16,24,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_17,17,24,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_18,18,23,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_19,19,19,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_2,2,18,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_20,20,10,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_21,21,9,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_22,22,13,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_23,23,23,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_24,24,21,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_25,25,23,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_26,26,26,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_27,27,24,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_28,28,14,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_29,29,16,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_3,3,20,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_30,30,22,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_31,31,20,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_32,32,20,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_33,33,20,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_34,34,19,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_35,35,22,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_36,36,23,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_37,37,16,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_38,38,22,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_39,39,19,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_4,4,11,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_40,40,18,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_41,41,19,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_42,42,16,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_43,43,14,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_44,44,17,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_45,45,22,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_46,46,17,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_47,47,17,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_48,48,22,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_49,49,21,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_5,5,14,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_50,50,25,Hook-and-line
Exp_Set3,HAL,Exp_Set3_107_51,51,26,Hook-and-line
